DATE,UNRATE,CPIAUCSL,GDP
1981-08-01,7.4,92.2,7159.388886363636
1981-09-01,7.6,93.1,7159.388886363636
1981-10-01,7.9,93.4,3280.818
1981-11-01,8.3,93.8,7159.388886363636
1981-12-01,8.5,94.1,7159.388886363636
1982-01-01,8.6,94.4,3274.302
1982-02-01,8.9,94.7,7159.388886363636
1982-03-01,9.0,94.7,7159.388886363636
1982-04-01,9.3,95.0,3331.972
1982-05-01,9.4,95.9,7159.388886363636
1982-06-01,9.6,97.0,7159.388886363636
1982-07-01,9.8,97.5,3366.322
1982-08-01,9.8,97.7,7159.388886363636
1982-09-01,10.1,97.7,7159.388886363636
1982-10-01,10.4,98.1,3402.561
1982-11-01,10.8,98.0,7159.388886363636
1982-12-01,10.8,97.7,7159.388886363636
1983-01-01,10.4,97.9,3473.413
1983-02-01,10.4,98.0,7159.388886363636
1983-03-01,10.3,98.1,7159.388886363636
1983-04-01,10.2,98.8,3578.848
1983-05-01,10.1,99.2,7159.388886363636
1983-06-01,10.1,99.4,7159.388886363636
1983-07-01,9.4,99.8,3689.179
1983-08-01,9.5,100.1,7159.388886363636
1983-09-01,9.2,100.4,7159.388886363636
1983-10-01,8.8,100.8,3794.706
1983-11-01,8.5,101.1,7159.388886363636
1983-12-01,8.3,101.4,7159.388886363636
1984-01-01,8.0,102.1,3908.054
1984-02-01,7.8,102.6,7159.388886363636
1984-03-01,7.8,102.9,7159.388886363636
1984-04-01,7.7,103.3,4009.601
1984-05-01,7.4,103.5,7159.388886363636
1984-06-01,7.2,103.7,7159.388886363636
1984-07-01,7.5,104.1,4084.25
1984-08-01,7.5,104.4,7159.388886363636
1984-09-01,7.3,104.7,7159.388886363636
1984-10-01,7.4,105.1,4148.551
1984-11-01,7.2,105.3,7159.388886363636
1984-12-01,7.3,105.5,7159.388886363636
1985-01-01,7.3,105.7,4230.168
1985-02-01,7.2,106.3,7159.388886363636
1985-03-01,7.2,106.8,7159.388886363636
1985-04-01,7.3,107.0,4294.887
1985-05-01,7.2,107.2,7159.388886363636
1985-06-01,7.4,107.5,7159.388886363636
1985-07-01,7.4,107.7,4386.773
1985-08-01,7.1,107.9,7159.388886363636
1985-09-01,7.1,108.1,7159.388886363636
1985-10-01,7.1,108.5,4444.094
1985-11-01,7.0,109.0,7159.388886363636
1985-12-01,7.0,109.5,7159.388886363636
1986-01-01,6.7,109.9,4507.894
1986-02-01,7.2,109.7,7159.388886363636
1986-03-01,7.2,109.1,7159.388886363636
1986-04-01,7.1,108.7,4545.34
1986-05-01,7.2,109.0,7159.388886363636
1986-06-01,7.2,109.4,7159.388886363636
1986-07-01,7.0,109.5,4607.669
1986-08-01,6.9,109.6,7159.388886363636
1986-09-01,7.0,110.0,7159.388886363636
1986-10-01,7.0,110.2,4657.627
1986-11-01,6.9,110.4,7159.388886363636
1986-12-01,6.6,110.8,7159.388886363636
1987-01-01,6.6,111.4,4722.156
1987-02-01,6.6,111.8,7159.388886363636
1987-03-01,6.6,112.2,7159.388886363636
1987-04-01,6.3,112.7,4806.16
1987-05-01,6.3,113.0,7159.388886363636
1987-06-01,6.2,113.5,7159.388886363636
1987-07-01,6.1,113.8,4884.555
1987-08-01,6.0,114.3,7159.388886363636
1987-09-01,5.9,114.7,7159.388886363636
